dataset,rmse,mae,bucketLength,numHashTables,threshold,top_k,timestamp
100k,1.1494717146041828,0.9315849596707264,2.0,7,0.8,20,20250605_010307
100k,1.1494717146041828,0.9315849596707264,2.0,7,0.8,30,20250605_010333
100k,1.0440926167392854,0.8115068487963332,2.0,7,1.0,10,20250605_010358
100k,1.0410945140949062,0.8095132278173063,2.0,7,1.0,20,20250605_010425
100k,1.0410453668594832,0.8100034578290832,2.0,7,1.0,30,20250605_010450
100k,0.9816520750239958,0.7430285511561417,2.0,7,1.2,10,20250605_010530
100k,0.951430268728392,0.717879880959443,2.0,7,1.2,20,20250605_010616
100k,1.04270286680601,0.8108718457086697,2.0,3,1.0,20,20250605_010622
100k,0.9322658378260408,0.7060326151731544,2.0,7,1.2,30,20250605_010657
100k,1.1508164647488568,0.9336701852738076,3.0,1,0.8,10,20250605_010719
100k,1.1508164647488568,0.9336701852738076,3.0,1,0.8,20,20250605_010741
100k,1.1508164647488568,0.9336701852738076,3.0,1,0.8,30,20250605_010803
100k,1.0637897773055722,0.8329713537750348,3.0,1,1.0,10,20250605_010826
100k,1.0622761401176324,0.8323082403153087,3.0,1,1.0,20,20250605_010848
100k,1.0625107443485735,0.8326101016535816,3.0,1,1.0,30,20250605_010911
100k,0.992622008234524,0.7533452630173505,3.0,1,1.2,10,20250605_010937
100k,0.9541727362510316,0.7249371074540906,3.0,1,1.2,20,20250605_011009
100k,0.9444708805571628,0.7171346682791082,3.0,1,1.2,30,20250605_011040
100k,1.149460752293081,0.93153455644492,3.0,3,0.8,10,20250605_011103
100k,1.149460752293081,0.93153455644492,3.0,3,0.8,20,20250605_011125
100k,1.149460752293081,0.93153455644492,3.0,3,0.8,30,20250605_011148
100k,1.0455613765228742,0.8128091569897651,3.0,3,1.0,10,20250605_011211
100k,1.04270286680601,0.8108718457086697,3.0,3,1.0,20,20250605_011234
100k,1.042844017380803,0.811439623705257,3.0,3,1.0,30,20250605_011258
100k,0.981734981778368,0.7428729686498103,3.0,3,1.2,10,20250605_011326
100k,0.9532749801732808,0.7195655418532482,3.0,3,1.2,20,20250605_011359
100k,0.9351193175300846,0.7075332073702431,3.0,3,1.2,30,20250605_011434
100k,1.1494717146041828,0.9315849596707264,3.0,5,0.8,10,20250605_011457
100k,1.1494717146041828,0.9315849596707264,3.0,5,0.8,20,20250605_011519
100k,1.1494717146041828,0.9315849596707264,3.0,5,0.8,30,20250605_011542
100k,1.0440926167392854,0.8115068487963332,3.0,5,1.0,10,20250605_011605
100k,1.0411047381614589,0.8095312772043363,3.0,5,1.0,20,20250605_011628
100k,1.041051705174416,0.8100099140129299,3.0,5,1.0,30,20250605_011651
100k,0.9812836107849514,0.7425269098451941,3.0,5,1.2,10,20250605_011724
100k,0.9514445561728352,0.7175686146753865,3.0,5,1.2,20,20250605_011802
100k,0.9330694208522412,0.7060141774139098,3.0,5,1.2,30,20250605_011838
100k,1.1494717146041828,0.9315849596707264,3.0,7,0.8,10,20250605_011902
100k,1.1494717146041828,0.9315849596707264,3.0,7,0.8,20,20250605_011926
100k,1.1494717146041828,0.9315849596707264,3.0,7,0.8,30,20250605_011950
100k,1.0440926167392854,0.8115068487963332,3.0,7,1.0,10,20250605_012016
100k,1.0410945140949062,0.8095132278173063,3.0,7,1.0,20,20250605_012042
100k,1.0410453668594832,0.8100034578290832,3.0,7,1.0,30,20250605_012106
100k,0.9816520750239958,0.7430285511561417,3.0,7,1.2,10,20250605_012141
100k,0.951430268728392,0.717879880959443,3.0,7,1.2,20,20250605_012220
100k,0.9322658378260408,0.7060326151731544,3.0,7,1.2,30,20250605_012259
100k,1.1508164647488568,0.9336701852738076,4.0,1,0.8,10,20250605_012321
100k,1.1508164647488568,0.9336701852738076,4.0,1,0.8,20,20250605_012343
100k,1.1508164647488568,0.9336701852738076,4.0,1,0.8,30,20250605_012404
100k,1.0637897773055722,0.8329713537750348,4.0,1,1.0,10,20250605_012427
100k,1.0622761401176324,0.8323082403153087,4.0,1,1.0,20,20250605_012449
100k,1.0625107443485735,0.8326101016535816,4.0,1,1.0,30,20250605_012511
100k,0.992622008234524,0.7533452630173505,4.0,1,1.2,10,20250605_012538
100k,0.9541727362510316,0.7249371074540906,4.0,1,1.2,20,20250605_012608
100k,0.9444708805571628,0.7171346682791082,4.0,1,1.2,30,20250605_012640
100k,1.149460752293081,0.93153455644492,4.0,3,0.8,10,20250605_012702
100k,1.149460752293081,0.93153455644492,4.0,3,0.8,20,20250605_012725
100k,1.149460752293081,0.93153455644492,4.0,3,0.8,30,20250605_012748
100k,1.0455613765228742,0.8128091569897651,4.0,3,1.0,10,20250605_012813
100k,1.04270286680601,0.8108718457086697,4.0,3,1.0,20,20250605_012836
100k,1.042844017380803,0.811439623705257,4.0,3,1.0,30,20250605_012900
100k,0.981734981778368,0.7428729686498103,4.0,3,1.2,10,20250605_012930
100k,0.9532749801732808,0.7195655418532482,4.0,3,1.2,20,20250605_013005
100k,0.9351193175300846,0.7075332073702431,4.0,3,1.2,30,20250605_013040
100k,1.1494717146041828,0.9315849596707264,4.0,5,0.8,10,20250605_013103
100k,1.1494717146041828,0.9315849596707264,4.0,5,0.8,20,20250605_013126
100k,1.1494717146041828,0.9315849596707264,4.0,5,0.8,30,20250605_013149
100k,1.0440926167392854,0.8115068487963332,4.0,5,1.0,10,20250605_013213
100k,1.0411047381614589,0.8095312772043363,4.0,5,1.0,20,20250605_013238
100k,1.041051705174416,0.8100099140129299,4.0,5,1.0,30,20250605_013303
